strain,gisaid_epi_isl,originating_lab,submitting_lab,authors
hCoV-19/Bonaire/BQ-RIVM-125213/2023,EPI_ISL_16760458,Dutch COVID-19 response team,National Institute for Public Health and the Environment (RIVM),"Adam Meijer, Harry Vennema, Dirk Eggink, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Lisa Wijsman, Kim Freriks, Ryanne Jaarsma, Lynn Aarts, Sanne Bos, Jil Kocken, Jordy de Bakker, Afke Vogelzang, Zarif MansoerAziem Elahi, Floor Fontein, Trung Bui, Florian Zwagemaker, Dennis Schmitz, Annelies Kroneman, Karim Hajji, Ivo van Walle, Chantal Reusken, on behalf of the national COVID-19 response team"
hCoV-19/USA/MT-MTPHL-4089813/2023,EPI_ISL_17260599,Montana Public Health Laboratory,Montana Public Health Laboratory,"Joy Ritter, Michelle Mozer, Deborah Gibson"
hCoV-19/France/IDF-HMN-22102210507/2022,EPI_ISL_15664315,TORCY BIO VSM LAB,"Department of Virology, Henri Mondor University Hospital, Assistance Publique Hôpitaux de Paris, Université Paris-Est Créteil, INSERM U955","Christophe Rodriguez, Slim Fourati, Vanessa Demontant, Guillaume Gricourt, Melissa N'Debi, Alexandre Soulier, Elisabeth Trawinski, Jean-Michel Pawlotsky"
hCoV-19/New Zealand/22YA3724/2022,EPI_ISL_15957094,Counties,Institute of Environmental Science and Research (ESR),"Sarah Cockerton, Clare Gebbie, Dhanisha Patel, Rachel Boyle, SallyAnn Harbison, Olivia Stroeven, Xiaoyun Ren, Matt Storey, Nikki Freed, Muhammad Faisal, Jing Wang, Hermes Perez, Bethany Forsythe, Anja Werno, Antje van der Linden, Arlo Upton, Chris Mansell, David Hammer, Dragana Drinkovic, Gary McAuliffe, Hana Sofia Andersson, James Ussher, Jill Sherwood, Josh Freeman, Julia Howard, Juliet Elvy, Mary DeAlmeida, Matt Blakiston, Matthew Rogers, Max Bloomfield, Michael Addidle, Michelle Balm, Sally Roberts, Sarah Jefferies, Sharmini Muttaiyah, Susan Morpeth, Susan Taylor, Timothy Blackmore, Vani Sathyendran, Veronica Playle, Virginia Hope, Erasmus Smit, Yoryea Mantziou-Hogg, Lauren Jelly, Olin Silander, Kirti Deo, Ana Claasen, Subin Jeon, Joep de Ligt, David Winter, Abbey Huriwai, Anju Keenan, Laura Kerr, Tisiola Talalima, Amy Bradhsaw, Klarysse Berquist"
hCoV-19/Zimbabwe/78084/2022,EPI_ISL_16848172,National Microbiology Reference Laboratory,National Microbiology Reference Laboratory,"Air Comodore Dr. J Chimedza, Dr Raiva Simbi, Agnes Juru, Kenneth Maeka, Tapfumanei Mashe, hgumbo, Faustinos Tatenda Takawira, Charles Nyagupe, Muchaneta Mugabe"
hCoV-19/Zimbabwe/78122/2022,EPI_ISL_16848171,National Microbiology Reference Laboratory,National Microbiology Reference Laboratory,"Air Comodore Dr. J Chimedza, Dr Raiva Simbi, Agnes Juru, Kenneth Maeka, Tapfumanei Mashe, hgumbo, Faustinos Tatenda Takawira, Charles Nyagupe, Muchaneta Mugabe"
hCoV-19/Jordan/Biolab0072/2021,EPI_ISL_2617462,Biolab Diagnostic Laboratories,Biolab Diagnostic Laboratories,"Issa Abu-Dayyeh, Ahmad Tibi, Lama Hussein, Shaima Ali, Badia Saddedin, Eiad Atwa, Amid Abdelnour"
hCoV-19/Norway/08443/2021,EPI_ISL_1989147,"Akershus University Hospital, Department for Microbiology and Infectious Disease Control","Norwegian Institute of Public Health, Department of Virology","Kathrine Stene-Johansen, Kamilla Heddeland Instefjord, Hilde Elshaug, Garcia Llorente Ignacio, Jon Bråte, Engebretsen Serina Beate,Pedersen Benedikte Nevjen, Debech Nadia, Atiya R Ali,Marie Paulsen Madsen, Rasmus Riis Kopperud, Hilde Vollan, Karoline Bragstad, Olav Hungnes"
hCoV-19/Cyprus/BMV824/2021,EPI_ISL_16368288,Nicosia General Hospital,"Laboratory of Biotechnology and Molecular Virology, University of Cyprus",Leondios G. Kostrikis et al.
hCoV-19/Chile/NB-7219/2023,EPI_ISL_16833912,Genetica Molecular and Subdepartamento de Virologia ISP Chile,Instituto de Salud Publica de Chile,"Mariela Guajardo, Constanza Campano, Marcelo Rojas, Paulo Covarrubias, Barbara Parra, Patricia Bustos, Rodrigo Fasce, Andres Castillo, Matias Pezoa, Ivan Ponce, Jorge Fernandez"
hCoV-19/Tianjin/TJCDC-1409/2022,EPI_ISL_16922888,Tianjin Centers for Disease Control and Prevention,Tianjin Centers for Disease Control and Prevention,"Li Xiaoyan, Zou Ming, Liu Xiaochang, Wang Ying, Zhuang Zhichao, Lei Yue, Tan Zhaolin, Yu Aiping, Han Yanzhen, Wang Yuan, Gao Xin"
hCoV-19/Ecuador/USFQ-4809/2023,EPI_ISL_17250786,"Institute of Microbiology, Universidad San Francisco de Quito","Institute of Microbiology, Universidad San Francisco de Quito","Mateo Carvajal, Sully Márquez, Belén Prado-Vivar, Erika B. Muñoz, Rommel Guevara, Marco Ipiales, Verónica Barragán, Patricio Rojas-Silva, Gabriel Trueba, Michelle Grunauer, Paúl Cárdenas"
hCoV-19/Zimbabwe/78120/2022,EPI_ISL_16848178,National Microbiology Reference Laboratory,National Microbiology Reference Laboratory,"Air Comodore Dr. J Chimedza, Dr Raiva Simbi, Agnes Juru, Kenneth Maeka, Tapfumanei Mashe, hgumbo, Faustinos Tatenda Takawira, Charles Nyagupe, Muchaneta Mugabe"
hCoV-19/Tunisia/S1016/2022,EPI_ISL_16862257,Laboratory of microbiology Habib Bourguiba University hospital,"Clinical and Experimental Pharmacology Lab, LR16SP02, National Center of Pharmacovigilance, University of Tunis El Manar, Tunis, Tunisia. 2- Ministry of Health, National Observatory of New and Emerging Diseases, 1006, Tunis, Tunisia","Sana Ferjani, Saba Gargouri, Fahmi Smaoui, Awatef taktak, Amel Chtourou, Rihab Hajji, Adnene Hammami, Hela Karray, Lamia Feki, Mouna Ben Sassi, Zaineb Hamzaoui, Salma Abid, Hannene El Jabri, Ines Medini, Sarra Chamam, Roua Ben Othmen, Emna Gaies, Riadh Daghfous, Sameh Trabelsi, lhem Boutiba-Ben Boubaker"
hCoV-19/New Zealand/22YA3305/2022,EPI_ISL_15322857,"Wellington SCL, Wellington Hospital Collection Center","Institute of Environmental Science and Research (ESR), Kenepuru Science Centre","Sarah Cockerton, Clare Gebbie, Dhanisha Patel, Rachel Boyle, SallyAnn Harbison, Olivia Stroeven, Xiaoyun Ren, Matt Storey, Nikki Freed, Muhammad Faisal, Jing Wang, Hermes Perez, Bethany Forsythe, Anja Werno, Antje van der Linden, Arlo Upton, Chris Mansell, David Hammer, Dragana Drinkovic, Gary McAuliffe, Hana Sofia Andersson, James Ussher, Jill Sherwood, Josh Freeman, Julia Howard, Juliet Elvy, Mary DeAlmeida, Matt Blakiston, Matthew Rogers, Max Bloomfield, Michael Addidle, Michelle Balm, Sally Roberts, Sarah Jefferies, Sharmini Muttaiyah, Susan Morpeth, Susan Taylor, Timothy Blackmore, Vani Sathyendran, Veronica Playle, Virginia Hope, Erasmus Smit, Yoryea Mantziou-Hogg, Lauren Jelly, Olin Silander, Kirti Deo, Ana Claasen, Subin Jeon, Joep de Ligt, David Winter, Abbey Huriwai, Anju Keenan, Laura Kerr, Tisiola Talalima, Amy Bradhsaw, Klarysse Berquist"
hCoV-19/Malaysia/C19UMB2915/2022,EPI_ISL_16047286,Makmal Kesihatan Awam Johor Bahru,UKM Medical Molecular Biology Institute (UMBI),"Rahman Jamal, Nur Alyaa Afifah Md Shahri, Mira Farzana Mohamad Mokhtar, Muhiddin Ishak, Ryia Illani Mohd Yunos, Siti Nur Hasanah Mohd Yusuf, Khairun Nur Abd Ghafar, Zahirrah Begam Mohamed Rasheed, Nurul Syakima Ab Mutalib, Nor Azila Muhammad Azami"
hCoV-19/Tunisia/S1013/2022,EPI_ISL_16862254,Laboratory of microbiology Habib Bourguiba University hospital,"Clinical and Experimental Pharmacology Lab, LR16SP02, National Center of Pharmacovigilance, University of Tunis El Manar, Tunis, Tunisia. 2- Ministry of Health, National Observatory of New and Emerging Diseases, 1006, Tunis, Tunisia","Sana Ferjani, Saba Gargouri, Fahmi Smaoui, Awatef taktak, Amel Chtourou, Rihab Hajji, Adnene Hammami, Hela Karray, Lamia Feki, Mouna Ben Sassi, Zaineb Hamzaoui, Salma Abid, Hannene El Jabri, Ines Medini, Sarra Chamam, Roua Ben Othmen, Emna Gaies, Riadh Daghfous, Sameh Trabelsi, lhem Boutiba-Ben Boubaker"
hCoV-19/USA/KS-ASC-210802172/2022,EPI_ISL_15883308,Aegis Sciences Corporation,Aegis Sciences Corporation,"Cyndi Clark, PhD; Alec Vest; Holly Houdeshell; Erin Arnold; Vikramsinha Ghorpade, MS; Ola Kvalvaag; Scott Folley; Rob Case; Shaun Westlund; Patrick Campbell; Matthew Hardison, PhD, FACMG, TC-NRCC, CCRP"
hCoV-19/Ecuador/USFQ-4807/2023,EPI_ISL_17250782,"Institute of Microbiology, Universidad San Francisco de Quito","Institute of Microbiology, Universidad San Francisco de Quito","Erika B. Muñoz, Belén Prado-Vivar, Mateo Carvajal, Sully Márquez, Rommel Guevara, Julissa Burgos, Verónica Barragán, Patricio Rojas-Silva, Gabriel Trueba, Michelle Grunauer, Paúl Cárdenas"
hCoV-19/Ecuador/USFQ-4803/2023,EPI_ISL_17250784,"Institute of Microbiology, Universidad San Francisco de Quito","Institute of Microbiology, Universidad San Francisco de Quito","Mateo Carvajal, Sully Márquez, Belén Prado-Vivar, Erika B. Muñoz, Rommel Guevara, Alfredo Medina, Verónica Barragán, Patricio Rojas-Silva, Gabriel Trueba, Michelle Grunauer, Paúl Cárdenas"
hCoV-19/Tunisia/S1017/2022,EPI_ISL_16862258,Laboratory of microbiology Habib Bourguiba University hospital,"Clinical and Experimental Pharmacology Lab, LR16SP02, National Center of Pharmacovigilance, University of Tunis El Manar, Tunis, Tunisia. 2- Ministry of Health, National Observatory of New and Emerging Diseases, 1006, Tunis, Tunisia","Sana Ferjani, Saba Gargouri, Fahmi Smaoui, Awatef taktak, Amel Chtourou, Rihab Hajji, Adnene Hammami, Hela Karray, Lamia Feki, Mouna Ben Sassi, Zaineb Hamzaoui, Salma Abid, Hannene El Jabri, Ines Medini, Sarra Chamam, Roua Ben Othmen, Emna Gaies, Riadh Daghfous, Sameh Trabelsi, lhem Boutiba-Ben Boubaker"
hCoV-19/Sichuan/ZYCDC-230065/2023,EPI_ISL_17062096,Ziyang Center of Disease Control and Prevention,Sichuan Center of Disease Control and Prevention,"Tao Zhang, Danyi Zhang"
hCoV-19/Mozambique/INS-PNV0083425/2022,EPI_ISL_16184295,Biotechnology and Genetics Laboratory - Instituto Nacional de Saúde,Biotechnology and Genetics Laboratory - Instituto Nacional de Saúde,"Sofia Viegas, Nalia Ismael, Mirela Pale, Cacildo Magul, Nuro Abilio, Samuel Chumane, Aventina Macuacua"
hCoV-19/New Zealand/22YA1945/2022,EPI_ISL_14634495,Wellington SCL,Institute of Environmental Science and Research (ESR),"Sarah Cockerton, Clare Gebbie, Dhanisha Patel, Rachel Boyle, SallyAnn Harbison, Olivia Stroeven, Xiaoyun Ren, Matt Storey, Nikki Freed, Muhammad Faisal, Jing Wang, Hermes Perez, Bethany Forsythe, Anja Werno, Antje van der Linden, Arlo Upton, Chris Mansell, David Hammer, Dragana Drinkovic, Gary McAuliffe, Hana Sofia Andersson, James Ussher, Jill Sherwood, Josh Freeman, Julia Howard, Juliet Elvy, Mary DeAlmeida, Matt Blakiston, Matthew Rogers, Max Bloomfield, Michael Addidle, Michelle Balm, Sally Roberts, Sarah Jefferies, Sharmini Muttaiyah, Susan Morpeth, Susan Taylor, Timothy Blackmore, Vani Sathyendran, Veronica Playle, Virginia Hope, Erasmus Smit, Yoryea Mantziou-Hogg, Lauren Jelly, Olin Silander, Kirti Deo, Ana Claasen, Subin Jeon, Joep de Ligt, David Winter, Abbey Huriwai, Anju Keenan, Laura Kerr, Tisiola Talalima, Amy Bradhsaw, Klarysse Berquist"
hCoV-19/Zambia/ZMB-119155/2021,EPI_ISL_4513782,"University of Zambia, School of Veterinary Medicine",UNZAVET and PATH,"Mulenga Mwenda-Chimfwembe, Ngonda Saasa, Daniel Bridges, ZNPHI and ZGSC"
hCoV-19/Andorra/AND-262_223631269101-GC/2022,EPI_ISL_16600563,"Laboratori d'anàlisis clíniques, Hospital Nostra Senyora de Meritxell","LBM de CHU de Toulouse, Hôpitaux de Toulouse","Rendon M, Lobaco C, Garcia M et al."
hCoV-19/Tunisia/S1020/2022,EPI_ISL_16862261,Laboratory of microbiology Habib Bourguiba University hospital,"Clinical and Experimental Pharmacology Lab, LR16SP02, National Center of Pharmacovigilance, University of Tunis El Manar, Tunis, Tunisia. 2- Ministry of Health, National Observatory of New and Emerging Diseases, 1006, Tunis, Tunisia","Sana Ferjani, Saba Gargouri, Fahmi Smaoui, Awatef taktak, Amel Chtourou, Rihab Hajji, Adnene Hammami, Hela Karray, Lamia Feki, Mouna Ben Sassi, Zaineb Hamzaoui, Salma Abid, Hannene El Jabri, Ines Medini, Sarra Chamam, Roua Ben Othmen, Emna Gaies, Riadh Daghfous, Sameh Trabelsi, lhem Boutiba-Ben Boubaker"
hCoV-19/Guinea Bissau/18LNSPGB/2021,EPI_ISL_2150988,Laboratório de Biologia Molecular Jean Piaget,"MRCG at LSHTM, Genomics lab","Aladje Balde, Abdul Karim Sesay, Abdoulie Kanteh, Bakary Sanyang, Simão Tchuda Bióté, Rui Inndi, Adul Candé, Faatu Cassama, Milanca Agostinho Cá, Rei José Pereira, Erica Luis Maria Magalhães, Aicha Balde, Bubacar Delgado Pinto Embaló, Edmira Maria da Costa, Paulina Joãozinho da Costa Jarra Manneh, Mariama Kujabi, Dabiri Damilari, Sainabou Laye Ndure"
hCoV-19/Paraguay/33610/2020,EPI_ISL_1340751,"Departamento de Virologia, Laboratorio Central de Salud Pública, Avenida Venezuela y Teniente Escurra, Asunción, Paraguay","Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ","Paola Resende, Cynthia Vazquez, Luciana Appolinario, Fernando Motta, Anna Carolina Paixao, Ana Carolina Mendonca, Alice Sampaio Rocha, Renata Serrano Lopes, Marilda Siqueira on behalf of the Fiocruz COVID-19 Genomic Surveillance Network"
hCoV-19/India/KA-20472_S115_R1_001/2022,EPI_ISL_15973574,Hassan Institute of Health Sciences,"inStem_NCBS_Strand Life Sciences (Supported by IN COVID support, FZE LLC)","Dasaradhi Palakodeti, Uma Ramakrishnan, Aswin SaiNarain"
hCoV-19/Mexico/MEX-LANGEBIO_IMSS_14253/2023,EPI_ISL_16968651,Laboratorio Central de Epidemiologia,Unidad de Genomica Avanzada,"Julio Elias Alvarado-Yaah, Carlos F. Arias, Eduardo Becerril-Vargas, David Alejandro Cabrera-Gaytan, Guillermo Corona Armenta, Cristobal Chaidez-Quiroz, Hermilo Dominguez-Zarate, Julissa Enciso-Ibarra, Gloria Espinosa-Ayala, Daniel Fregoso-Rueda, Alejandra Garcia-Gasca, Rodrigo Garcia-Lopez, Bruno Gomez-Gil, Jean Pierre Gonzalez, Irvin Gonzalez-Lopez, Ricardo Grande, Alfredo Herrera-Estrella, Carla Ivon Herrera-Najera, Beatriz Jimenez-Moraila, Daniel Lira-Morales, Brenda Irasema Maldonado-Meza, Maria Guadalupe Marquez-Rosales, Julio Cesar Martinez-Alvarez, Bernardo Martinez-Miguel, Gabriela Bibiana Martinez-Morales, Celida Martinez-Rodriguez, Fidencio Mejia-Nepomuceno, Maria Guadalupe de Jesus Mireles-Rivera, Gloria Maria Molina-Salinas, Hector Montoya-Fuentes, Mario Mujica-Sanchez, Jose Esteban Munoz-Medina, Jose de Jesus Nunez-Contreras, Ilse Patricia Salinas-Peralta, Bruno Tonatiuh Rivas-Santiago, Mauricio Rosales-Rivera, Jorge Salas-Hernandez, Angel Gustavo Salas-Lais, Alejandro Sanchez-Flores, Clara Esperanza Santacruz-Tinoco, Nelly Selem-Mojica, Blanca Taboada, Gloria Vazquez, Joel Armando Vazquez-Perez."
hCoV-19/USA/MT-MTPHL-4088928/2023,EPI_ISL_17260586,Montana Public Health Laboratory,Montana Public Health Laboratory,"Joy Ritter, Michelle Mozer, Deborah Gibson"
hCoV-19/Brazil/PE-FIOCRUZ-IAM13888/2022,EPI_ISL_16920233,NUPIT/UFPE,WallauLab on behalf of Fiocruz COVID-19 Genomic Surveillance Network,"Marcelo Henrique dos Santos Paiva, Cassia Docena, Matheus Filgueira Bezerra, Filipe Zimmer Dezordi, Antonio Marinho da Silva Neto, Lais Ceschini Machado, Lilian Caroliny Amorim Silva, Gustavo Barbosa de Lima, Alexandre Freitas da Silva, Túlio de Lima Campos, Gabriel Luz Wallau, Maira Galdino da Rocha Pitta, Michelly Cristiny Pereira, Rômulo Pessoa e Silva"
hCoV-19/Mexico/CMX-INMEGEN-03-11-183/2020,EPI_ISL_4219808,Instituto Nacional de Medicina Genomica,Instituto Nacional de Medicina Genomica,"Cedro-Tanda A, Escobar-Arrazola MA, Ramirez-Vega O, Rangel-DeLeon D, Yair Alfaro-Mora, Hidalgo-Miranda A, Mendoza-Vargas A, Reyes-Grajeda JP, Herrera-Montalvo LA."
hCoV-19/Indonesia/JK-CW62-3967/2023,EPI_ISL_17189177,Labkesda DKI Jakarta,National Quality Control Laboratory of Drug and Food,"Sofia D.U, Yusrina N.C.C., M. Erdiansyah, Dilin N., Fitra Y.D.P., Sri U., Hana Apsari Pawestri"
hCoV-19/Mozambique/INS-PCS0028241/2022,EPI_ISL_16184299,Biotechnology and Genetics Laboratory - Instituto Nacional de Saúde,Biotechnology and Genetics Laboratory - Instituto Nacional de Saúde,"Sofia Viegas, Nalia Ismael, Mirela Pale, Cacildo Magul, Nuro Abilio, Samuel Chumane, Aventina Macuacua"
hCoV-19/USA/HI-H2218421/2022,EPI_ISL_16222678,"State Laboratories Division, Hawaii State Department of Health","State Laboratories Division, Hawaii State Department of Health","Pamela O'Brien, Drew Kuwazaki, Ayana Garnet, Samantha Cotter, Cheyenne Barela, Cheryl-lynn Daquip, Mark Nagata, Samantha Sruba, Jeffrey Au, Briana Ofilas, Remedios Gose, Daniel Strange, Edward Desmond"
hCoV-19/Philippines/PH-RITM-1434/2022,EPI_ISL_13137105,City Epidemiology and Surveillance Unit-Puerto Princesa City,Research Institute for Tropical Medicine,"Francisco Gerardo M. Polotan, Gerald Ivan S. Sotelo, Ardiane Ysabelle M. Dolor, Anne Pauline A. Alpino, Jefferson Earl J. Halog, Othoniel Jan T. Onza, Ma. Angelica A. Tujan, Amalea Dulcene D. Nicolasora, Joy Mariette L. Parayray, Criselda T. Bautista, Vina Lea F. Arguelles, Alexander Sadiasa, Catalino S. Demetria, Dodge R. Lim, Angela Kae T. Chang, Ma. Ricci R. Gomez, Claudette Lee S. Navarro, Charalyn Babida, Lei Lanna M. Dancel, Mayan Uy-Lumandas, Timothy John R. Dizon, Kirstyn Brunker, Katie Hampson, Yao-Tsun Li, Simon Daldry, Joseph Hughes"
hCoV-19/Mauritius/53910/2022,EPI_ISL_15970047,"Central Health Laboratory, Ministry of Health and Wellness , Mauritius","Central Health Laboratory, Ministry of Health and Wellness , Mauritius","Ubheeram J, Ramuth M, Mathur H, Sujeewon C, Gopaul N, Luckhun A, Bahadoor BS, Sonoo J."
hCoV-19/Peru/LIM-INS-38634/2023,EPI_ISL_16726562,Laboratorio de Referencia Nacional de Virus Inmunoprevenibles. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.,Laboratorio de Referencia Nacional de Virus Inmunoprevenibles. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.,"Carlos Padilla Rojas, Veronica Hurtado Vela, Victor Jimenez Vasquez, Iris Silva Molina, Luis Barcena Flores, Wendy Lizarraga Olivares, Alicia Nuñez Llanos, Steve Acedo Lazo, Luren Sevilla Castañeda, Kelly Izarra Rojas, Princesa Medrano Alhuay, Estela Huaman Angeles, Lilian Huarca Balbin, Karla Vásquez Cajachahua, Olga Torres Gonzales, Vanesa Dominguez Villanueva, Omar Caceres Rey, Marco Galarza Perez, Henri Bailon Calderon, Nancy Rojas Serrano, Priscila Lope Pari, Lely Solari Zerpa, Joseph Huayra Niquen, Gloria Arotinco Garayar."
hCoV-19/Costa Rica/INC-9299-779775/2022,EPI_ISL_16910872,AREA DE SALUD SANTA BARBARA,"Inciensa, Instituto de Investigación y Enseñanza en Nutrición y Salud","Francisco Duarte, Hebleen Porras, Claudio Soto-Garita, Estela Cordero, Adriana Godínez, Melany Calderón, José Luis Vargas, Natalia Bonilla & Vanessa Villalobos Alfaro"
hCoV-19/South Korea/KDCA203716/2023,EPI_ISL_16899554,"Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency","Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency","Jeong-Ah Kim, Yu jeong Ahn, Ae Kyung Park, Il-Hwan Kim, Chae Young Lee, Hyuck Jin Lee, Eun-Jin Kim"
hCoV-19/Namibia/N17405/2021,EPI_ISL_12958000,Namibia Institute of Pathology (NIP),National Institute for Communicable Diseases of the National Health Laboratory Service,"Van Rooyen G, Konstantinus I, Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N"
hCoV-19/Zimbabwe/78094/2022,EPI_ISL_16848169,National Microbiology Reference Laboratory,National Microbiology Reference Laboratory,"Air Comodore Dr. J Chimedza, Dr Raiva Simbi, Agnes Juru, Kenneth Maeka, Tapfumanei Mashe, hgumbo, Faustinos Tatenda Takawira, Charles Nyagupe, Muchaneta Mugabe"
hCoV-19/USA/NV-CDC-QDX42556189/2022,EPI_ISL_15584106,Quest Diagnostics Incorporated,"Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery","Dakota Howard, Dhwani Batra, Peter Cook, Jason Caravas, Benjamin Rambo-Martin, Scott Sammons, Yvette Unoarumhi, Matthew Schmerer, Kristine Lacek, Tymeckia Kendall, Victoria Caban Figueroa, Shatavia Morrison, Christopher Gulvick, Erisa Sula, S. Rosenthal, A. Gerasimova, R. Kagan, B. Anderson, M. Hua, Y. Liu, L. Bernstein, K. Livingston, A. Perez, I. Shlyakhter, R. Rolando, R. Owen, P. Tanpaiboon, F. Lacbawan, Clinton Paden, Duncan MacCannell"
hCoV-19/Guatemala/9204-LNS/2022,EPI_ISL_15638056,"Laboratorio Nacional de Salud (LNS), Guatemala","Laboratorio Nacional de Salud (LNS), Guatemala","Mendoza L, Perez M, Calan K"
hCoV-19/USA/NE-NM_L357254468/2022,EPI_ISL_15288406,Nebraska Public Health Laboratory,NPHL COVID-19 Response Team,"Paulino, Arlene; Bartling, Amanda M; Roden, Amy E; Abdalhamid, Baha"
hCoV-19/New Zealand/23YA0416/2023,EPI_ISL_16954015,Pathlab Rotorua,Institute of Environmental Science and Research (ESR),"Sarah Cockerton, Clare Gebbie, Dhanisha Patel, Rachel Boyle, SallyAnn Harbison, Olivia Stroeven, Xiaoyun Ren, Matt Storey, Nikki Freed, Muhammad Faisal, Jing Wang, Hermes Perez, Bethany Forsythe, Anja Werno, Antje van der Linden, Arlo Upton, Chris Mansell, David Hammer, Dragana Drinkovic, Gary McAuliffe, Hana Sofia Andersson, James Ussher, Jill Sherwood, Josh Freeman, Julia Howard, Juliet Elvy, Mary DeAlmeida, Matt Blakiston, Matthew Rogers, Max Bloomfield, Michael Addidle, Michelle Balm, Sally Roberts, Sarah Jefferies, Sharmini Muttaiyah, Susan Morpeth, Susan Taylor, Timothy Blackmore, Vani Sathyendran, Veronica Playle, Virginia Hope, Erasmus Smit, Yoryea Mantziou-Hogg, Lauren Jelly, Olin Silander, Kirti Deo, Ana Claasen, Subin Jeon, Joep de Ligt, David Winter, Abbey Huriwai, Anju Keenan, Laura Kerr, Tisiola Talalima, Amy Bradhsaw, Klarysse Berquist"
hCoV-19/Indonesia/JK-GS-GSILab-1148780/2023,EPI_ISL_17213343,Genomik Solidaritas Indonesia Laboratorium,Genomik Solidaritas Indonesia Laboratorium,"Kirana Pangestuti, Dian Pitaloka Rajagukguk, Arif Trisman, Gracia Felias Enos Korompis, Renata Triwijaya, Eugene Vito Sebastian, Anuraj Shankar, Louisa Markus, Meutia Ayuputeri Kumaheri, Ariel Pradipta"
hCoV-19/USA/CA-NSYMMPHL-NSYM6717/2023,EPI_ISL_17194549,Napa-Solano-Yolo-Marin-Mendocino County Public Health Laboratory,Napa-Solano-Yolo-Marin-Mendocino County Public Health Laboratory,"Dr. Beatrix Kapusinszky, Favian Ramirez, and Felipe Sta Agueda on behalf of Napa-Solano-Yolo-Marin-Mendocino County Public Health Laboratory"
hCoV-19/Ghana/NMIMR-NUR-22-5035/2022,EPI_ISL_16276026,"Noguchi Memorial Institute for Medical Research, University of Ghana, Legon, Ghana","Noguchi Memorial Institute for Medical Research, University of Ghana, Legon, Ghana","Quaneeta Mohktar, Bernice Twenewaa Sekyere, Tracy Sarkodie-Addo, Peace Ori Uche, Seyram Bless Agbenyo, Kwame Boamah Buabeng, Hilda Opoku Frempong, Joseph H.K. Bonney, John K. Odoom and Bright Adu"
hCoV-19/Mauritius/52294/2022,EPI_ISL_15908945,"Central Health Laboratory, Ministry of Health and Wellness , Mauritius","Central Health Laboratory, Ministry of Health and Wellness , Mauritius","Ramuth M, Ubheeram J, Mathur H, Sujeewon C, Gopaul N, Luckhun A, Bahadoor BS, Sonoo J."
hCoV-19/USA/NC-CDC-LC0529697/2022,EPI_ISL_10073917,Laboratory Corporation of America,"Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery","Dakota Howard,Dhwani Batra,Peter Cook,Jason Caravas,Benjamin Rambo-Martin,Scott Sammons,Yvette Unoarumhi,Matthew Schmerer,Kristine Lacek,Tymeckia Kendall,Victoria Caban Figueroa,Shatavia Morrison,Christopher Gulvick,Minoo Agarwal,Eyad Almasri,Debbie Boles,Ayla Burns,Nuthawin Charoensri,Oren Cohen,Susan Countryman,Mary Cristobal,Bobbi Croy,Suzanne Dale,Hrushikesh Deshmukh,Amanda Douglas,Vincent Drouillon,Marcia Eisenberg,Howard Engler,Rama Ghatti,Prashant Gupta,Susan Hicks,Jake Humphrey,Lax Iyer,Lisa Pfefferle,Manoj Jain,Matthew Robinson,Mohan Kolli,Brian Krueger,Tim Kuphal,Stanley Letovsky,Michael Levandoski,Craig Lukasik,Jonathan Meltzer,Brian Norvell,Mindy Nye,Scott Parker,Christos Petropoulos,John Pruitt,Steven Ragan,Scott Ryan,Mike Sapeta,Jana Schroth,Suresh Selvaraju,Goran Stevovic,Amanda Suchanek,Andrea Throop,Lyndon Tilson,Thomas Urban,Joe Voshell,Kimberly Wagner,Jonathan Williams,Mary Williamson,Qian Zeng,Tricia Zwiefelhofer,Clinton Paden,Duncan MacCannell"
hCoV-19/Brunei/2/2021,EPI_ISL_1122420,"National Public Health Laboratory, National Centre for Infectious Diseases",National Virology Reference Laboratory,"Tze Minn Mak, Zhenyang Zhou, Zainun Zaini, Surita Taib, Lin Cui, Raymond Tzer Pin Lin"
hCoV-19/Trinidad and Tobago/161006/2022,EPI_ISL_15458891,Trinidad Public Health Laboratory,CARPHA,Carlos Rampersad on behalf of CARPHA
hCoV-19/Chile/LR-9011/2023,EPI_ISL_16942034,Genetica Molecular and Subdepartamento de Virologia ISP Chile,Instituto de Salud Publica de Chile,"Mariela Guajardo, Constanza Campano, Marcelo Rojas, Paulo Covarrubias, Barbara Parra, Patricia Bustos, Rodrigo Fasce, Andres Castillo, Matias Pezoa, Ivan Ponce, Jorge Fernandez"
